track_name,genre,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Can't Hold Us (feat. Ray Dalton),"Hip hop, Rap","Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1.953.533.826,201,44,6.551,2,0,146,D,Major,63,88,93,3,0,10,8
Watermelon Sugar,"Pop, indie Pop, Rock",Harry Styles,1,2019,11,17,21915,34,2.322.580.122,437,115,1.212,12,,95,,Major,55,56,82,12,0,34,5
lovely - Bonus Track,"Pop, indie Pop","Billie Eilish, Khalid",2,2017,8,11,15032,30,2.355.719.893,221,96,1.078,2,136,115,E,Minor,35,12,30,93,0,10,3
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Latin pop trap,"Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66.902.503,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5
Queencard,"K-Pop, Dance pop",(G)I-DLE,1,2023,5,15,451,33,96.273.746,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5
OMG,"K-Pop, Hip hop, R&B",NewJeans,1,2023,1,2,1783,27,430.977.451,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4
Radio,"Pop, indie Pop",Lana Del Rey,1,2011,1,1,9389,46,284.819.874,24,122,282,3,368,150,D,Major,42,20,86,21,0,9,9
"Shakira: Bzrp Music Sessions, Vol. 53","electroPop, EDM, Dance pop","Shakira, Bizarrap",2,2023,1,11,5724,44,721.975.598,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5
505,"indie Pop, Rock",Arctic Monkeys,1,2007,4,20,13985,25,1.217.120.710,30,80,588,1,1,140,,Major,52,20,85,0,0,7,5
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Hip hop, Rap","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109.276.132,31,37,31,0,189,140,,Major,63,22,54,46,0,12,8
Trance (with Travis Scott & Young Thug),"Hip hop, Rap","Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276.259.178,24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34
